 Date,Time,TimeM, Min X, Max X, Avg X, Min Y, Max Y, Avg Y, Min Z, Max Z, Avg Z, Humidity, Temperature, Lat, Lon, Altitude, Speed, Sat, Prec,Event
 04/11/2013,05:06:20,321793,25.73,32.56,31.2,43.81,49.71,44.93,22.53,32.69,31.28,37.8,20.4,57.363948,-2.07366,20.2,15.22,8,110,In car
 04/11/2013,05:09:03,442961,31.27,34.35,33.76,45.39,47.35,46.78,29.7,33.99,32.15,35,20.1,57.343288,-2.05258,37.1,53.49,10,90,In car
 04/11/2013,05:09:06,445836,31.42,34.81,33.67,44.21,47.58,46.12,29.41,34.3,32.66,35.5,20.2,57.342639,-2.0527,37.1,53.49,10,90,In car
 04/11/2013,05:09:09,448131,29.1,34.27,31.37,44.36,47.63,47.13,26.91,34.87,29.52,35.6,20.2,57.341999,-2.05282,37.8,53.89,10,90,In car
 04/11/2013,05:09:13,450369,29.77,36.55,32.28,44.87,47.67,46.83,29.57,36.41,30.65,35.6,20.1,57.341129,-2.05298,38.5,54.81,9,120,In car
 04/11/2013,05:09:16,453231,30.82,33.81,32.34,45.39,47.92,46.89,28.73,33.45,30.66,35.6,20.1,57.340461,-2.0531,38,54.81,10,90,In car
 04/11/2013,05:09:19,455507,28.52,36.87,34.23,45,49.82,45.67,25.84,36.87,33.64,35.7,20.1,57.33979,-2.05322,37.2,56.55,10,90,In car
 04/11/2013,05:09:23,457743,30.18,34.1,33.28,45.13,48.17,47,27.5,33.38,31.48,35.3,20.1,57.338878,-2.05339,35.5,57.33,10,90,In car
 04/11/2013,05:09:26,460596,27.77,33.25,31.27,45.48,48.74,46.74,25.05,31.48,29.76,35.8,20.1,57.33818,-2.05352,33.6,57.33,10,90,In car
 04/11/2013,05:09:29,462883,30,34.25,32.6,45.64,49.33,47.09,29.19,33.4,30.73,35.8,20.1,57.337471,-2.05365,31.7,59.51,10,90,In car
 04/11/2013,05:09:33,465122,30.07,33.63,31.57,45.64,48.89,46.82,26.81,33.01,30,35.2,20.1,57.336509,-2.05383,28.5,60.96,10,90,In car
 04/11/2013,05:09:36,467996,29.09,34.53,29.87,44.74,48.47,47.33,26.24,34.78,27.91,35.7,20.1,57.335781,-2.05397,26.1,60.96,10,90,In car
 04/11/2013,05:09:39,470268,29.39,33.31,30.44,45.53,48.51,47.34,26.48,32.57,28.47,35.7,20.1,57.335048,-2.0541,23.9,60.95,10,90,In car
 04/11/2013,05:09:43,472502,28.96,34.27,32.9,45.14,47.61,46.3,26.8,34.14,31.73,35.6,20.1,57.334068,-2.05429,20.1,61.57,10,90,In car
 04/11/2013,05:09:46,475384,29.62,33.08,31.82,44.22,46.4,45.64,29.02,33.32,31.25,35.6,20.1,57.33332,-2.05437,15.7,61.57,10,90,In car
 04/11/2013,05:09:49,477650,28.37,32.12,30.24,44.11,46.27,45.4,27.53,31.87,29.9,35.5,20.1,57.332561,-2.05433,12.4,62.97,10,90,In car
 04/11/2013,05:09:53,479887,28.71,34.3,31.62,42.92,46.49,46.31,27.6,36.27,30.47,35.5,20.1,57.331569,-2.05407,13,62.57,10,90,In car
 04/11/2013,05:09:56,482794,29.09,32.68,31.88,44.47,46.04,45.17,28.42,32.76,31.73,35.5,20.1,57.330841,-2.05375,16,62.57,10,90,In car
 04/11/2013,05:09:59,485083,29.11,33.69,32.15,44.06,46.44,44.94,29.02,34.38,32.21,35.4,20,57.330131,-2.0533,19.5,62.64,10,90,In car
 04/11/2013,05:10:04,487320,31.46,36.08,32.77,43.31,46.3,44.56,30.31,35.06,33.19,,,57.32901,-2.05229,25.1,61.12,10,90,In car
 04/11/2013,05:10:07,490706,25.98,33.63,29.79,45,47.38,46.03,24.16,33.63,28.95,34.9,20.1,57.328388,-2.05156,27.5,59.88,10,90,In car
 04/11/2013,05:10:11,492935,30.68,33.87,32.78,44.37,47.41,45.63,28.9,33.63,32.22,,,57.327648,-2.05048,31.5,58.47,10,90,In car
 04/11/2013,05:10:14,496349,29.5,35.24,30.86,45.27,48.34,45.7,28.83,34.49,30.25,35.4,20,57.327121,-2.04962,33.6,57.48,10,90,In car
 04/11/2013,05:10:18,498624,29.67,34.79,30.34,44.3,46.36,45.01,29.77,34.2,30.33,35.5,20.1,57.326461,-2.04845,36.4,57,10,90,In car
 04/11/2013,05:10:21,501244,30.3,34.62,32.38,44.53,47,45,28.76,34.37,32.38,35.4,20,57.326,-2.04752,38.4,57,10,90,In car
 04/11/2013,05:10:24,503532,29.56,33.51,32.28,45.73,47.75,46.24,27.26,32.03,31.17,35.4,20.1,57.32555,-2.04658,40.4,55.48,10,90,In car
 04/11/2013,05:10:29,505765,29.62,34.14,31.88,44.38,49.45,46.22,26.65,34.14,30.83,,,57.324829,-2.04505,43.8,53.94,10,90,In car
 04/11/2013,05:10:32,509169,32.14,37.83,32.42,43.05,47.39,46.37,30.46,39.74,31.2,34.8,20,57.32439,-2.04416,45.7,53.87,10,90,In car
 04/11/2013,05:10:35,511391,32.29,33.86,33.17,46,48.31,46.61,30.76,31.96,31.71,35.6,20,57.323928,-2.04332,47.6,53.83,10,90,In car
 04/11/2013,05:10:38,513978,31.32,37.01,33.87,44.7,48.3,47.53,28.93,37.3,31.58,35.4,20,57.323421,-2.04257,48.9,54.18,10,90,In car
 04/11/2013,05:10:41,516218,31.53,34.81,33.39,46.53,48.71,47.44,28.31,32.58,31.19,35.3,20,57.32286,-2.04193,50,54.18,10,90,In car
 04/11/2013,05:10:44,518476,29.62,35.07,33.13,44.58,48.97,46.71,26.8,35.46,31.6,35.3,20,57.322261,-2.0414,49.9,56.47,10,90,In car
 04/11/2013,05:10:48,520715,31.35,35.62,32.95,46.83,48.12,47.35,29.15,33.51,30.85,35.3,20,57.32138,-2.04087,49.2,57.91,10,90,In car
 04/11/2013,05:10:51,523651,31.85,35.1,34.32,46.87,48.86,47.71,29.42,32.85,31.84,35.3,20,57.320678,-2.04063,48.2,57.91,10,90,In car
 04/11/2013,05:10:54,525908,29.46,33.75,32.08,45.53,48.65,46.54,27.5,33.26,30.74,35.2,20,57.319969,-2.04055,47,58.82,10,90,In car
 04/11/2013,05:10:58,528143,30.24,33.81,32.36,47.25,48.63,47.76,27.52,31.17,29.92,35,20,57.31903,-2.04068,45.1,57.41,10,90,In car
 04/11/2013,05:11:01,531035,31.26,33.16,31.76,46.58,48.45,47.43,28.59,31.28,29.63,35,20,57.318359,-2.04095,43.6,57.41,10,90,In car
 04/11/2013,05:11:04,533294,30.29,33.51,32.9,45.25,47.17,45.98,28.88,32.82,32.02,34.9,20,57.317718,-2.04131,42.4,54.35,10,90,In car
 04/11/2013,05:11:08,535530,32.7,34.17,33.17,44.48,46.68,45.5,31.28,34.65,32.73,34.7,20,57.316879,-2.04184,41.7,57.63,10,90,In car
 04/11/2013,05:11:11,538433,32.05,36.01,33.18,43.63,48.6,45.3,30.3,34.51,32.92,34.7,20,57.3162,-2.04228,41.1,61.66,10,90,In car
 04/11/2013,05:11:14,540689,31.31,34.15,32.69,43.29,46.57,44.35,30.28,35.21,33.29,34.6,20,57.315471,-2.04276,40.6,64.71,10,90,In car
